Date/Time,RANGE," ""ROW""","""LOCATION""","""TRIAL""","""PLOT""",Weight,Moisture,Test Weight,Quick Note,Harvest Sequence
6/12/2024 16:22,7,18,HUT.E,DP,318,1.485,11.6,52.2,,177
6/12/2024 16:21,8,18,HUT.E,DP,418,5.284,10.4,73.5,,176
6/12/2024 16:25,5,19,HUT.E,DP,119,0.841,9.81,44.1,,180
6/12/2024 16:26,6,19,HUT.E,DP,219,5.281,10.5,73.6,,181
6/12/2024 16:27,7,19,HUT.E,DP,319,4.671,9.96,66.1,,182
6/12/2024 16:28,8,19,HUT.E,DP,419,4.292,10.8,71.6,,183
6/12/2024 16:40,5,20,HUT.E,DP,120,2.284,12.5,52.4,,199
6/12/2024 16:39,6,20,HUT.E,DP,220,1.33,16.3,45.7,,198
6/12/2024 16:38,7,20,HUT.E,DP,320,4.479,10.2,69.5,,197
6/12/2024 16:37,8,20,HUT.E,DP,420,3.609,10.3,68,,196
6/12/2024 16:42,5,21,HUT.E,DP,121,1.008,9.72,52.5,,200
6/12/2024 16:43,6,21,HUT.E,DP,221,4.544,10.6,71.3,,201
6/12/2024 16:43,7,21,HUT.E,DP,321,4.497,10.4,69.2,,202
6/12/2024 16:44,8,21,HUT.E,DP,421,4.746,10.6,70.7,,203
6/12/2024 16:55,5,22,HUT.E,DP,122,0.001,0.66,0.02,,219
6/12/2024 16:55,6,22,HUT.E,DP,222,4.976,10.8,78.4,,218
6/12/2024 16:54,7,22,HUT.E,DP,322,1.481,10.5,51.7,,217
6/12/2024 16:53,8,22,HUT.E,DP,422,0.618,16,40.6,,216
6/12/2024 17:01,1,23,HUT.E,FMC,101,3.875,10.2,68.6,,220
6/12/2024 17:02,2,23,HUT.E,FMC,201,3.599,10.4,68.2,,221
6/12/2024 17:03,3,23,HUT.E,FMC,301,3.915,10.2,70,,222
6/12/2024 17:03,4,23,HUT.E,FMC,401,3.822,10.2,70,,223
6/12/2024 17:04,5,23,HUT.E,CB,CB,0.054,0.75,2.94,,224
6/12/2024 17:04,6,23,HUT.E,FILL,FILL,0.022,0.75,0.75,,225
6/12/2024 17:05,7,23,HUT.E,FILL,FILL,0.015,0.74,0.74,,226
6/12/2024 17:05,8,23,HUT.E,FILL,FILL,0.026,0.74,1.05,,227
6/12/2024 17:21,1,24,HUT.E,FMC,102,4.377,10.3,67.5,,247
6/12/2024 17:21,2,24,HUT.E,FMC,202,4.16,10.3,67.9,,246
6/12/2024 17:20,3,24,HUT.E,FMC,302,3.753,10.1,69.6,,245
6/12/2024 17:19,4,24,HUT.E,FMC,402,3.542,10.4,71,,244
6/12/2024 17:18,5,24,HUT.E,CB,CB,1.996,10.3,70,,243
6/12/2024 17:18,6,24,HUT.E,SP,101,3.978,10.1,69.6,,242
6/12/2024 17:17,7,24,HUT.E,SP,201,3.835,10.2,71,,241
6/12/2024 17:16,8,24,HUT.E,SP,301,4.431,10.2,70.1,,240
6/12/2024 17:24,1,25,HUT.E,FMC,103,4.278,10,68.5,,248
6/12/2024 17:25,2,25,HUT.E,FMC,203,3.74,10.1,68.7,,249
6/12/2024 17:25,3,25,HUT.E,FMC,303,3.362,10,67.6,,250
6/12/2024 17:26,4,25,HUT.E,FMC,403,3.678,10.2,70.4,,251
6/12/2024 17:27,5,25,HUT.E,CB,CB,0.029,0.71,0.85,,252
6/12/2024 17:27,6,25,HUT.E,SP,102,4.202,10.1,69.9,,253
6/12/2024 17:28,7,25,HUT.E,SP,202,3.944,10.2,70.3,,254
6/12/2024 17:29,8,25,HUT.E,SP,302,4.85,10.2,71.4,,255
6/12/2024 17:45,1,26,HUT.E,FMC,104,3.877,9.98,67.4,,275
6/12/2024 17:44,2,26,HUT.E,FMC,204,3.648,9.95,67.5,,274
6/12/2024 17:43,3,26,HUT.E,FMC,304,3.375,9.92,67.3,,273
6/12/2024 17:42,4,26,HUT.E,FMC,404,3.11,10.5,70.5,,272
6/12/2024 17:41,5,26,HUT.E,CB,CB,0.024,0.71,0.74,,271
6/12/2024 17:41,6,26,HUT.E,SP,103,4.318,10.1,70.2,,270
6/12/2024 17:40,7,26,HUT.E,SP,203,3.794,10.1,70.6,,269
6/12/2024 17:39,8,26,HUT.E,SP,303,4.747,10.1,70.3,,268
6/12/2024 17:47,1,27,HUT.E,FMC,105,4.228,10.2,69.4,,276
6/12/2024 17:47,2,27,HUT.E,FMC,205,4.131,10.5,68.2,,277
6/12/2024 17:48,3,27,HUT.E,FMC,305,4.14,10,69.8,,278
6/12/2024 17:49,4,27,HUT.E,FMC,405,3.434,10.3,71.5,,279
6/12/2024 17:49,5,27,HUT.E,FILL,FILL,1.829,11.1,70.6,,280
6/12/2024 17:50,6,27,HUT.E,Clx2,101,1.957,9.5,58.7,,281
6/12/2024 17:51,7,27,HUT.E,Clx2,201,4.696,10.3,71.7,,282
6/12/2024 17:52,8,27,HUT.E,Clx2,301,3.868,10.3,71.9,,283
6/12/2024 18:07,1,28,HUT.E,FMC,106,3.452,9.94,67.9,,303
6/12/2024 18:07,2,28,HUT.E,FMC,206,3.595,10.3,68.7,,302
6/12/2024 18:06,3,28,HUT.E,FMC,306,4.163,9.81,68.6,,301
6/12/2024 18:05,4,28,HUT.E,FMC,406,4.335,9.99,68.8,,300
6/12/2024 18:04,5,28,HUT.E,FILL,FILL,1.42,10.6,74.6,,299
6/12/2024 18:04,6,28,HUT.E,Clx2,102,2.377,10,64.7,,298
6/12/2024 18:03,7,28,HUT.E,Clx2,202,3.494,9.46,62.7,,297
6/12/2024 18:02,8,28,HUT.E,Clx2,302,3.162,9.56,62.7,,296
6/12/2024 18:09,1,29,HUT.E,FMC,107,2.897,10.2,66.9,,304
6/12/2024 18:10,2,29,HUT.E,FMC,207,3.873,9.99,68.4,,305
6/12/2024 18:10,3,29,HUT.E,FMC,307,4.229,10,68.8,,306
6/12/2024 18:11,4,29,HUT.E,FMC,407,4.224,10.1,69.2,,307
6/12/2024 18:12,5,29,HUT.E,FILL,FILL,3.942,10.6,74.6,,308
6/12/2024 18:13,6,29,HUT.E,Clx2,103,2.598,9.68,63.5,,309
6/12/2024 18:13,7,29,HUT.E,Clx2,203,2.793,9.48,63.2,,310
6/12/2024 18:14,8,29,HUT.E,Clx2,303,4.619,10.3,71.7,,311
6/12/2024 18:30,1,30,HUT.E,FMC,108,3.544,10.1,70.6,,331
6/12/2024 18:29,2,30,HUT.E,FMC,208,3.56,10.1,72.6,,330
6/12/2024 18:28,3,30,HUT.E,FMC,308,3.883,9.98,69.7,,329
6/12/2024 18:27,4,30,HUT.E,FMC,408,3.846,9.86,67,,328
6/12/2024 18:27,5,30,HUT.E,FILL,FILL,3.877,10.4,73.5,,327
6/12/2024 18:26,6,30,HUT.E,Clx2,104,3.976,10.1,69.9,,326
6/12/2024 18:25,7,30,HUT.E,Clx2,204,3.607,10,70.3,,325
6/12/2024 18:25,8,30,HUT.E,Clx2,304,3.511,9.5,63.7,,324
6/12/2024 18:31,1,31,HUT.E,FILL,FILL,0.035,0.69,1.53,,332
6/12/2024 18:31,2,31,HUT.E,FILL,FILL,0.022,0.69,1.07,,333
6/12/2024 18:31,3,31,HUT.E,FILL,FILL,0.014,0.71,0.43,,334
6/12/2024 18:32,4,31,HUT.E,FILL,FILL,0.031,0.71,1.12,,335
6/12/2024 18:32,5,31,HUT.E,FILL,FILL,0.026,0.71,1.18,,336
6/12/2024 18:32,6,31,HUT.E,FILL,FILL,0.027,0.71,0.79,,337
6/12/2024 18:32,7,31,HUT.E,FILL,FILL,0.03,0.71,0.35,,338
6/12/2024 18:33,8,31,HUT.E,FILL,FILL,1.084,10.4,68.8,,339
