level_0,index,YEAR,Trial,TRIAL_SHORT,Location,LOC_SHORT,Trt,Reps,Plots,SAMPLING,TRIAL_CODE,Trt1,Rep1,Plot,LABEL
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,11,2,211,FRL-AB-22-HI-211
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,12,2,212,FRL-AB-22-HI-212
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,13,2,213,FRL-AB-22-HI-213
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,14,2,214,FRL-AB-22-HI-214
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,15,2,215,FRL-AB-22-HI-215
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,16,2,216,FRL-AB-22-HI-216
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,17,2,217,FRL-AB-22-HI-217
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,18,2,218,FRL-AB-22-HI-218
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,19,2,219,FRL-AB-22-HI-219
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,20,2,220,FRL-AB-22-HI-220
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,21,2,221,FRL-AB-22-HI-221
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,22,2,222,FRL-AB-22-HI-222
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,23,2,223,FRL-AB-22-HI-223
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,24,2,224,FRL-AB-22-HI-224
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,1,3,301,FRL-AB-22-HI-301
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,2,3,302,FRL-AB-22-HI-302
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,3,3,303,FRL-AB-22-HI-303
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,4,3,304,FRL-AB-22-HI-304
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,5,3,305,FRL-AB-22-HI-305
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,6,3,306,FRL-AB-22-HI-306
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,7,3,307,FRL-AB-22-HI-307
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,8,3,308,FRL-AB-22-HI-308
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,9,3,309,FRL-AB-22-HI-309
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,10,3,310,FRL-AB-22-HI-310
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,11,3,311,FRL-AB-22-HI-311
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,12,3,312,FRL-AB-22-HI-312
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,13,3,313,FRL-AB-22-HI-313
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,14,3,314,FRL-AB-22-HI-314
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,15,3,315,FRL-AB-22-HI-315
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,16,3,316,FRL-AB-22-HI-316
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,17,3,317,FRL-AB-22-HI-317
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,18,3,318,FRL-AB-22-HI-318
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,19,3,319,FRL-AB-22-HI-319
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,20,3,320,FRL-AB-22-HI-320
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,21,3,321,FRL-AB-22-HI-321
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,22,3,322,FRL-AB-22-HI-322
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,23,3,323,FRL-AB-22-HI-323
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,24,3,324,FRL-AB-22-HI-324
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,1,1,101,FRL-AB-22-CB-101
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,2,1,102,FRL-AB-22-CB-102
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,3,1,103,FRL-AB-22-CB-103
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,4,1,104,FRL-AB-22-CB-104
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,5,1,105,FRL-AB-22-CB-105
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,6,1,106,FRL-AB-22-CB-106
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,7,1,107,FRL-AB-22-CB-107
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,8,1,108,FRL-AB-22-CB-108
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,9,1,109,FRL-AB-22-CB-109
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,10,1,110,FRL-AB-22-CB-110
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,11,1,111,FRL-AB-22-CB-111
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,12,1,112,FRL-AB-22-CB-112
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,13,1,113,FRL-AB-22-CB-113
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,14,1,114,FRL-AB-22-CB-114
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,15,1,115,FRL-AB-22-CB-115
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,16,1,116,FRL-AB-22-CB-116
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,17,1,117,FRL-AB-22-CB-117
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,18,1,118,FRL-AB-22-CB-118
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,19,1,119,FRL-AB-22-CB-119
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,20,1,120,FRL-AB-22-CB-120
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,21,1,121,FRL-AB-22-CB-121
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,22,1,122,FRL-AB-22-CB-122
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,23,1,123,FRL-AB-22-CB-123
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,24,1,124,FRL-AB-22-CB-124
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,1,2,201,FRL-AB-22-CB-201
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,2,2,202,FRL-AB-22-CB-202
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,3,2,203,FRL-AB-22-CB-203
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,4,2,204,FRL-AB-22-CB-204
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,5,2,205,FRL-AB-22-CB-205
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,6,2,206,FRL-AB-22-CB-206
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,7,2,207,FRL-AB-22-CB-207
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,8,2,208,FRL-AB-22-CB-208
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,9,2,209,FRL-AB-22-CB-209
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,10,2,210,FRL-AB-22-CB-210
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,11,2,211,FRL-AB-22-CB-211
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,12,2,212,FRL-AB-22-CB-212
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,13,2,213,FRL-AB-22-CB-213
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,14,2,214,FRL-AB-22-CB-214
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,15,2,215,FRL-AB-22-CB-215
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,16,2,216,FRL-AB-22-CB-216
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,17,2,217,FRL-AB-22-CB-217
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,18,2,218,FRL-AB-22-CB-218
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,19,2,219,FRL-AB-22-CB-219
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,20,2,220,FRL-AB-22-CB-220
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,21,2,221,FRL-AB-22-CB-221
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,22,2,222,FRL-AB-22-CB-222
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,23,2,223,FRL-AB-22-CB-223
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,24,2,224,FRL-AB-22-CB-224
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,1,3,301,FRL-AB-22-CB-301
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,2,3,302,FRL-AB-22-CB-302
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,3,3,303,FRL-AB-22-CB-303
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,4,3,304,FRL-AB-22-CB-304
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,5,3,305,FRL-AB-22-CB-305
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,6,3,306,FRL-AB-22-CB-306
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,7,3,307,FRL-AB-22-CB-307
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,8,3,308,FRL-AB-22-CB-308
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,9,3,309,FRL-AB-22-CB-309
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,10,3,310,FRL-AB-22-CB-310
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,11,3,311,FRL-AB-22-CB-311
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,12,3,312,FRL-AB-22-CB-312
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,13,3,313,FRL-AB-22-CB-313
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,14,3,314,FRL-AB-22-CB-314
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,15,3,315,FRL-AB-22-CB-315
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,16,3,316,FRL-AB-22-CB-316
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,17,3,317,FRL-AB-22-CB-317
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,18,3,318,FRL-AB-22-CB-318
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,19,3,319,FRL-AB-22-CB-319
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,20,3,320,FRL-AB-22-CB-320
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,21,3,321,FRL-AB-22-CB-321
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,22,3,322,FRL-AB-22-CB-322
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,23,3,323,FRL-AB-22-CB-323
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,CB,11,24,3,324,FRL-AB-22-CB-324
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,1,1,101,IND-AB-22-Book-101
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,2,1,102,IND-AB-22-Book-102
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,3,1,103,IND-AB-22-Book-103
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,1,2,201,IND-AB-22-Book-201
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,2,2,202,IND-AB-22-Book-202
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,3,2,203,IND-AB-22-Book-203
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,1,3,301,IND-AB-22-Book-301
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,2,3,302,IND-AB-22-Book-302
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,3,3,303,IND-AB-22-Book-303
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,1,4,401,IND-AB-22-Book-401
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,2,4,402,IND-AB-22-Book-402
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,Book,3,3,4,403,IND-AB-22-Book-403
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,1,1,101,IND-AB-22-CB-101
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,2,1,102,IND-AB-22-CB-102
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,3,1,103,IND-AB-22-CB-103
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,1,2,201,IND-AB-22-CB-201
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,2,2,202,IND-AB-22-CB-202
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,3,2,203,IND-AB-22-CB-203
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,1,3,301,IND-AB-22-CB-301
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,2,3,302,IND-AB-22-CB-302
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,3,3,303,IND-AB-22-CB-303
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,1,4,401,IND-AB-22-CB-401
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,2,4,402,IND-AB-22-CB-402
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,CB,3,3,4,403,IND-AB-22-CB-403
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,1,1,101,IND-AB-22-HI-101
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,2,1,102,IND-AB-22-HI-102
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,3,1,103,IND-AB-22-HI-103
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,1,2,201,IND-AB-22-HI-201
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,2,2,202,IND-AB-22-HI-202
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,3,2,203,IND-AB-22-HI-203
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,1,3,301,IND-AB-22-HI-301
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,2,3,302,IND-AB-22-HI-302
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,3,3,303,IND-AB-22-HI-303
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,1,4,401,IND-AB-22-HI-401
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,2,4,402,IND-AB-22-HI-402
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HI,3,3,4,403,IND-AB-22-HI-403
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,1,1,101,IND-AB-22-HD-101
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,2,1,102,IND-AB-22-HD-102
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,3,1,103,IND-AB-22-HD-103
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,1,2,201,IND-AB-22-HD-201
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,2,2,202,IND-AB-22-HD-202
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,3,2,203,IND-AB-22-HD-203
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,1,3,301,IND-AB-22-HD-301
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,2,3,302,IND-AB-22-HD-302
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,3,3,303,IND-AB-22-HD-303
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,1,4,401,IND-AB-22-HD-401
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,2,4,402,IND-AB-22-HD-402
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,HD,3,3,4,403,IND-AB-22-HD-403
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,1,1,101,IND-AB-22-ST-101
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,2,1,102,IND-AB-22-ST-102
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,3,1,103,IND-AB-22-ST-103
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,1,2,201,IND-AB-22-ST-201
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,2,2,202,IND-AB-22-ST-202
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,3,2,203,IND-AB-22-ST-203
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,1,3,301,IND-AB-22-ST-301
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,2,3,302,IND-AB-22-ST-302
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,3,3,303,IND-AB-22-ST-303
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,1,4,401,IND-AB-22-ST-401
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,2,4,402,IND-AB-22-ST-402
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,ST,3,3,4,403,IND-AB-22-ST-403
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,GR,3,1,1,101,IND-AB-22-GR-101
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,GR,3,2,1,102,IND-AB-22-GR-102
1,1,22,Indigo,IND,Ashland Bottoms,AB,3.0,4.0,12,GR,3,3,1,103,IND-AB-22-GR-103
